"recorded_outcome","admission_grade","age"
"Dropout",127.3,20
"Graduate",142.5,19
"Dropout",124.8,19
"Graduate",119.6,20
"Graduate",141.5,45
"Graduate",114.8,50
"Graduate",128.4,18
"Dropout",113.1,22
"Graduate",129.3,21
"Dropout",123,18
"Graduate",130.6,18
"Graduate",119.3,18
"Dropout",130.2,19
"Graduate",111.8,21
"Graduate",137.1,18
"Dropout",120.7,20
"Enrolled",137.4,18
"Graduate",127.3,18
"Graduate",136.3,20
"Enrolled",124.6,18
"Graduate",120.3,21
"Enrolled",121.8,20
"Graduate",125.5,18
"Graduate",114.9,19
"Graduate",123.9,19
"Enrolled",157,18
"Graduate",116.4,21
"Enrolled",131,18
"Graduate",122.1,20
"Enrolled",118.8,19
"Enrolled",150,21
"Graduate",130,20
"Enrolled",138.8,18
"Graduate",134.5,19
"Graduate",131.4,34
"Dropout",102.5,37
"Dropout",128.8,43
"Dropout",122.9,55
"Graduate",113.9,39
"Dropout",120,20
"Dropout",121.1,18
"Graduate",120.4,22
"Graduate",100.6,22
"Dropout",121.4,20
"Dropout",109.7,29
"Enrolled",134.1,24
"Graduate",127.6,18
"Graduate",132.4,22
"Graduate",133.4,21
"Graduate",126.1,19
"Graduate",113.5,24
"Enrolled",121.3,19
"Enrolled",121.8,20
"Graduate",159.3,19
"Dropout",120,27
"Graduate",129.1,18
"Dropout",130,39
"Dropout",155.3,27
"Graduate",139.8,18
"Enrolled",115.2,18
"Graduate",114.9,18
"Graduate",131.9,21
"Enrolled",126,19
"Enrolled",130.2,19
"Enrolled",120.9,24
"Dropout",126,29
"Graduate",128.2,19
"Graduate",130,23
"Dropout",120.1,19
"Enrolled",100,26
"Enrolled",134,18
"Graduate",130.8,24
"Dropout",135.8,19
"Dropout",111.7,18
"Graduate",132.9,18
"Dropout",115.5,18
"Dropout",106,21
"Graduate",120.3,19
"Graduate",130.8,22
"Graduate",117,33
"Dropout",110.2,20
"Dropout",155.7,35
"Dropout",180.4,24
"Enrolled",125.5,18
"Graduate",110,33
"Graduate",161,22
"Graduate",100,25
"Graduate",117.6,20
"Enrolled",128.7,23
"Enrolled",112.2,18
"Dropout",100.8,24
"Graduate",105,21
"Dropout",100,26
"Dropout",115.5,39
"Graduate",114,44
"Enrolled",137,19
"Graduate",124.9,18
"Graduate",120.3,18
"Enrolled",134.3,19
"Dropout",111.5,19
"Dropout",128.8,21
"Graduate",110,20
"Dropout",113.5,36
"Graduate",160,43
"Dropout",117.4,19
"Graduate",122.2,20
"Dropout",118.2,19
"Dropout",106.7,20
"Dropout",108.2,20
"Enrolled",107,20
"Graduate",136.1,18
"Enrolled",115.3,18
"Graduate",139.8,19
"Graduate",157,18
"Dropout",131,18
"Enrolled",100,20
"Enrolled",140.4,20
"Enrolled",113.4,20
"Graduate",137,18
"Graduate",121.8,18
"Dropout",131,21
"Graduate",118.6,19
"Dropout",122.3,19
"Graduate",127.9,19
"Graduate",121.3,19
"Dropout",117.1,19
"Graduate",160,20
"Enrolled",145.3,18
"Graduate",122.6,18
"Graduate",128,19
"Dropout",124.9,18
"Graduate",123.7,18
"Graduate",120.1,19
"Dropout",131.7,19
"Graduate",133.2,20
"Dropout",109.3,19
"Graduate",113,20
"Graduate",157.9,18
"Enrolled",112.1,20
"Graduate",174.7,18
"Graduate",128.8,19
"Graduate",110.1,19
"Enrolled",99.7,22
"Graduate",121,19
"Graduate",131.7,19
"Graduate",119.1,19
"Dropout",124.7,19
"Dropout",117.2,20
"Graduate",128.8,18
"Graduate",131.5,20
"Enrolled",121.7,18
"Graduate",123.4,19
"Enrolled",124.7,18
"Graduate",132.8,18
"Dropout",108.7,21
"Dropout",138.1,19
"Graduate",126.5,18
"Graduate",127.4,18
"Graduate",123.6,20
"Graduate",122,24
"Dropout",118.2,19
"Graduate",123.9,18
"Graduate",125.8,18
"Dropout",123.3,21
"Graduate",124.4,19
"Graduate",126,19
"Enrolled",170,47
"Graduate",121.5,19
"Graduate",130,29
"Dropout",117,21
"Enrolled",130,28
"Graduate",108,20
"Graduate",132.3,19
"Graduate",148,26
"Dropout",122.6,20
"Enrolled",123,18
"Graduate",102.5,27
"Dropout",113.3,20
"Dropout",133,18
"Dropout",140,33
"Graduate",128.3,35
"Enrolled",140,26
"Dropout",104,27
"Dropout",122.3,19
"Dropout",135,20
"Dropout",119.1,20
"Enrolled",126.6,21
"Graduate",129,18
"Dropout",162.3,24
"Graduate",163.4,20
"Graduate",121.5,21
"Enrolled",122.8,23
"Dropout",118,24
"Dropout",134,21
"Graduate",129.8,18
"Dropout",152,27
"Graduate",122.8,18
"Dropout",150,35
"Graduate",131.8,18
"Enrolled",105.9,35
"Graduate",132.1,19
"Graduate",127.4,20
"Graduate",129.5,18
"Graduate",126.7,21
"Graduate",116.5,18
"Graduate",119.1,18
"Graduate",126.5,18
"Graduate",149.8,18
"Graduate",115.1,19
"Dropout",124.5,36
"Graduate",128.3,18
"Graduate",136,18
"Graduate",140,20
"Dropout",126.3,26
"Graduate",126.9,21
"Enrolled",145,25
"Graduate",115.8,19
"Dropout",100,24
"Dropout",102.5,27
"Dropout",131.5,21
"Graduate",147,18
"Graduate",122.5,19
"Dropout",117.5,18
"Graduate",150,19
"Graduate",127.5,19
"Graduate",140,33
"Graduate",130,45
"Graduate",133.3,20
"Dropout",97,28
"Graduate",112,19
"Graduate",123.6,18
"Dropout",130.5,38
"Graduate",133.3,19
"Graduate",132.1,21
"Dropout",100,21
"Graduate",140.4,22
"Graduate",141.7,18
"Graduate",119.7,18
"Dropout",122.5,25
"Dropout",140,24
"Enrolled",119.4,19
"Enrolled",155,24
"Graduate",119.1,20
"Dropout",122.7,25
"Graduate",117.9,20
"Graduate",130,23
"Graduate",120,19
"Dropout",130,29
"Graduate",116.8,21
"Graduate",123.4,18
"Enrolled",125.4,19
"Dropout",127.2,18
"Graduate",103.4,19
"Enrolled",123.2,18
"Graduate",124.1,18
"Dropout",99.5,37
"Graduate",124.9,29
"Enrolled",110.8,18
"Graduate",118.9,19
"Dropout",118.8,22
"Graduate",137,20
"Dropout",100,34
"Dropout",120,30
