id,group,score
C3-001,Special Practice,17
C3-002,Special Practice,23
C3-003,Special Practice,36
C3-004,Special Practice,20
C3-005,Special Practice,28
C3-006,Special Practice,32
C3-007,Special Practice,28
C3-008,Special Practice,28
C3-009,Special Practice,34
C3-010,Special Practice,25
C3-011,Special Practice,40
C3-012,Special Practice,29
C3-013,Special Practice,31
C3-014,Special Practice,27
C3-015,Special Practice,37
C3-016,Special Practice,21
C3-017,Special Practice,25
C3-018,Special Practice,20
C3-019,Special Practice,20
C3-020,Special Practice,21
C3-021,Special Practice,29
C3-022,Special Practice,30
C3-023,Special Practice,21
C3-024,Special Practice,35
C3-025,Special Practice,36
C3-026,Special Practice,22
C3-027,Special Practice,29
C3-028,Special Practice,32
C3-029,Special Practice,23
C3-030,Special Practice,28
C3-031,Special Practice,29
C3-032,Special Practice,31
C3-033,Special Practice,24
C3-034,Special Practice,31
C3-035,Special Practice,27
C3-036,Special Practice,25
C3-037,Special Practice,25
C3-038,Special Practice,26
C3-039,Special Practice,24
C3-040,Special Practice,26
C3-041,Special Practice,27
C3-042,Special Practice,33
C3-043,Special Practice,24
C3-044,Special Practice,33
C3-045,Special Practice,27
C3-046,Special Practice,26
C3-047,Special Practice,29
C3-048,Special Practice,24
C3-049,Special Practice,34
C3-050,Special Practice,29
C3-051,Special Practice,24
C3-052,Special Practice,35
C3-053,Special Practice,13
C3-054,Special Practice,14
C3-055,Special Practice,38
C3-056,Special Practice,19
C3-057,Special Practice,36
C3-058,Special Practice,15
C3-059,Special Practice,27
C3-060,Special Practice,24
C3-061,Usual Practice,27
C3-062,Usual Practice,15
C3-063,Usual Practice,19
C3-064,Usual Practice,26
C3-065,Usual Practice,24
C3-066,Usual Practice,18
C3-067,Usual Practice,23
C3-068,Usual Practice,27
C3-069,Usual Practice,23
C3-070,Usual Practice,29
C3-071,Usual Practice,24
C3-072,Usual Practice,20
C3-073,Usual Practice,27
C3-074,Usual Practice,22
C3-075,Usual Practice,27
C3-076,Usual Practice,23
C3-077,Usual Practice,29
C3-078,Usual Practice,33
C3-079,Usual Practice,23
C3-080,Usual Practice,11
C3-081,Usual Practice,33
C3-082,Usual Practice,37
C3-083,Usual Practice,24
C3-084,Usual Practice,24
C3-085,Usual Practice,38
C3-086,Usual Practice,36
C3-087,Usual Practice,25
C3-088,Usual Practice,25
C3-089,Usual Practice,17
C3-090,Usual Practice,30
C3-091,Usual Practice,22
C3-092,Usual Practice,14
C3-093,Usual Practice,19
C3-094,Usual Practice,24
C3-095,Usual Practice,24
C3-096,Usual Practice,28
C3-097,Usual Practice,35
C3-098,Usual Practice,25
C3-099,Usual Practice,36
C3-100,Usual Practice,19
C3-101,Usual Practice,32
C3-102,Usual Practice,20
C3-103,Usual Practice,19
C3-104,Usual Practice,23
C3-105,Usual Practice,17
C3-106,Usual Practice,24
C3-107,Usual Practice,11
C3-108,Usual Practice,20
C3-109,Usual Practice,12
C3-110,Usual Practice,22
C3-111,Usual Practice,22
C3-112,Usual Practice,25
C3-113,Usual Practice,24
C3-114,Usual Practice,39
C3-115,Usual Practice,21
C3-116,Usual Practice,20
C3-117,Usual Practice,24
C3-118,Usual Practice,21
C3-119,Usual Practice,21
C3-120,Usual Practice,18
