id,higher,pass
U001,yes,No
U002,yes,No
U003,yes,Yes
U004,yes,Yes
U005,yes,Yes
U006,yes,Yes
U007,yes,Yes
U008,yes,No
U009,yes,Yes
U010,yes,Yes
U011,yes,No
U012,yes,Yes
U013,yes,Yes
U014,yes,Yes
U015,yes,Yes
U016,yes,Yes
U017,yes,Yes
U018,yes,Yes
U019,yes,No
U020,yes,Yes
U021,yes,Yes
U022,yes,Yes
U023,yes,Yes
U024,yes,Yes
U025,yes,No
U026,yes,No
U027,yes,Yes
U028,yes,Yes
U029,yes,Yes
U030,yes,Yes
U031,yes,Yes
U032,yes,Yes
U033,yes,Yes
U034,yes,Yes
U035,yes,Yes
U036,yes,No
U037,yes,Yes
U038,yes,Yes
U039,yes,Yes
U040,yes,Yes
U041,yes,Yes
U042,yes,Yes
U043,yes,Yes
U044,yes,Yes
U045,yes,No
U046,yes,No
U047,yes,Yes
U048,yes,Yes
U049,yes,Yes
U050,yes,No
U051,yes,Yes
U052,yes,Yes
U053,yes,Yes
U054,yes,Yes
U055,yes,Yes
U056,yes,Yes
U057,yes,Yes
U058,yes,Yes
U059,yes,No
U060,yes,Yes
U061,yes,Yes
U062,yes,Yes
U063,yes,No
U064,yes,No
U065,yes,Yes
U066,yes,Yes
U067,yes,Yes
U068,yes,No
U069,yes,No
U070,yes,Yes
U071,yes,Yes
U072,yes,Yes
U073,yes,No
U074,yes,Yes
U075,yes,Yes
U076,yes,Yes
U077,yes,Yes
U078,yes,Yes
U079,no,Yes
U080,yes,No
U081,yes,Yes
U082,yes,Yes
U083,yes,No
U084,yes,Yes
U085,yes,Yes
U086,yes,No
U087,yes,No
U088,yes,Yes
U089,yes,Yes
U090,yes,No
U091,yes,No
U092,yes,Yes
U093,yes,No
U094,yes,Yes
U095,yes,Yes
U096,yes,Yes
U097,yes,Yes
U098,yes,Yes
U099,yes,Yes
U100,yes,No
U101,yes,No
U102,yes,Yes
U103,yes,Yes
U104,yes,No
U105,yes,Yes
U106,yes,Yes
U107,yes,No
U108,yes,Yes
U109,yes,Yes
U110,yes,Yes
U111,yes,Yes
U112,yes,Yes
U113,yes,Yes
U114,yes,Yes
U115,yes,No
U116,yes,Yes
U117,yes,Yes
U118,yes,Yes
U119,yes,No
U120,yes,Yes
U121,yes,Yes
U122,yes,Yes
U123,yes,Yes
U124,yes,Yes
U125,yes,No
U126,yes,Yes
U127,yes,Yes
U128,no,No
U129,yes,No
U130,yes,Yes
U131,yes,No
U132,yes,No
U133,yes,Yes
U134,yes,Yes
U135,yes,No
U136,yes,No
U137,yes,No
U138,yes,No
U139,yes,Yes
U140,yes,Yes
U141,yes,No
U142,yes,No
U143,yes,Yes
U144,yes,Yes
U145,yes,No
U146,yes,Yes
U147,yes,No
U148,yes,Yes
U149,no,No
U150,yes,Yes
U151,no,No
U152,yes,Yes
U153,yes,Yes
U154,no,No
U155,yes,Yes
U156,yes,No
U157,yes,Yes
U158,yes,Yes
U159,yes,Yes
U160,yes,Yes
U161,no,No
U162,yes,No
U163,yes,No
U164,no,Yes
U165,no,No
U166,no,Yes
U167,no,Yes
U168,yes,Yes
U169,yes,No
U170,yes,Yes
U171,yes,No
U172,yes,Yes
U173,yes,Yes
U174,yes,No
U175,yes,No
U176,yes,No
U177,yes,Yes
U178,yes,No
U179,yes,No
U180,yes,Yes
U181,yes,No
U182,yes,Yes
U183,yes,Yes
U184,yes,No
U185,yes,Yes
U186,yes,Yes
U187,yes,Yes
U188,yes,Yes
U189,yes,No
U190,yes,Yes
U191,yes,Yes
U192,yes,No
U193,yes,No
U194,yes,Yes
U195,yes,Yes
U196,yes,Yes
U197,yes,Yes
U198,yes,Yes
U199,yes,Yes
U200,yes,Yes
U201,yes,Yes
U202,yes,Yes
U203,yes,Yes
U204,yes,No
U205,yes,Yes
U206,yes,No
U207,yes,No
U208,yes,Yes
U209,yes,Yes
U210,yes,No
U211,yes,No
U212,yes,Yes
U213,yes,Yes
U214,yes,No
U215,yes,Yes
U216,yes,Yes
U217,yes,No
U218,yes,No
U219,yes,No
U220,yes,Yes
U221,yes,No
U222,yes,No
U223,yes,Yes
U224,yes,Yes
U225,yes,Yes
U226,yes,No
U227,yes,Yes
U228,yes,Yes
U229,yes,No
U230,yes,Yes
U231,yes,Yes
U232,yes,Yes
U233,yes,No
U234,yes,Yes
U235,yes,No
U236,yes,Yes
U237,yes,Yes
U238,yes,Yes
U239,yes,Yes
U240,no,No
U241,yes,Yes
U242,yes,Yes
U243,yes,No
U244,yes,Yes
U245,yes,No
U246,yes,Yes
U247,yes,Yes
U248,no,No
U249,yes,No
U250,yes,Yes
U251,no,No
U252,yes,Yes
U253,no,No
U254,yes,No
U255,yes,Yes
U256,yes,No
U257,yes,Yes
U258,yes,Yes
U259,yes,Yes
U260,yes,No
U261,yes,Yes
U262,yes,No
U263,yes,Yes
U264,yes,No
U265,yes,No
U266,yes,Yes
U267,yes,Yes
U268,yes,Yes
U269,yes,Yes
U270,no,No
U271,yes,No
U272,yes,Yes
U273,yes,Yes
U274,yes,Yes
U275,yes,Yes
U276,yes,Yes
U277,no,No
U278,yes,No
U279,yes,No
U280,yes,Yes
U281,yes,No
U282,yes,Yes
U283,yes,Yes
U284,yes,Yes
U285,yes,Yes
U286,yes,Yes
U287,yes,Yes
U288,yes,Yes
U289,yes,Yes
U290,yes,Yes
U291,yes,Yes
U292,yes,Yes
U293,yes,Yes
U294,yes,Yes
U295,yes,Yes
U296,yes,Yes
U297,yes,No
U298,yes,No
U299,yes,Yes
U300,yes,Yes
U301,yes,Yes
U302,yes,Yes
U303,yes,Yes
U304,yes,Yes
U305,yes,Yes
U306,yes,Yes
U307,yes,Yes
U308,yes,No
U309,yes,Yes
U310,yes,Yes
U311,yes,No
U312,no,Yes
U313,yes,Yes
U314,yes,Yes
U315,yes,Yes
U316,yes,Yes
U317,yes,No
U318,yes,No
U319,yes,Yes
U320,yes,Yes
U321,yes,Yes
U322,yes,No
U323,yes,Yes
U324,yes,Yes
U325,yes,Yes
U326,yes,Yes
U327,yes,Yes
U328,yes,Yes
U329,yes,No
U330,yes,Yes
U331,yes,No
U332,yes,Yes
U333,yes,No
U334,yes,No
U335,yes,No
U336,yes,Yes
U337,yes,Yes
U338,yes,No
U339,yes,Yes
U340,yes,Yes
U341,yes,Yes
U342,yes,No
U343,yes,Yes
U344,yes,No
U345,yes,Yes
U346,yes,Yes
U347,yes,Yes
U348,yes,No
U349,yes,Yes
U350,yes,Yes
U351,yes,No
U352,yes,Yes
U353,no,No
U354,yes,No
U355,yes,Yes
U356,yes,No
U357,yes,Yes
U358,yes,Yes
U359,yes,Yes
U360,yes,Yes
U361,yes,Yes
U362,no,Yes
U363,yes,Yes
U364,yes,Yes
U365,yes,Yes
U366,yes,Yes
U367,yes,Yes
U368,yes,No
U369,yes,Yes
U370,yes,Yes
U371,yes,No
U372,no,Yes
U373,yes,Yes
U374,yes,No
U375,yes,Yes
U376,yes,Yes
U377,yes,Yes
U378,yes,Yes
U379,yes,Yes
U380,yes,Yes
U381,yes,Yes
U382,yes,No
U383,yes,Yes
U384,yes,No
U385,yes,No
U386,yes,Yes
U387,yes,No
U388,yes,No
U389,yes,No
U390,yes,No
U391,yes,No
U392,yes,Yes
U393,yes,No
U394,yes,Yes
U395,yes,No
