student,feedback,practice,score
1,Rereading,Massed,4
2,Rereading,Massed,5
3,Rereading,Massed,7
4,Rereading,Massed,8
5,Rereading,Spaced,4
6,Rereading,Spaced,5
7,Rereading,Spaced,7
8,Rereading,Spaced,8
9,Answer feedback,Massed,6
10,Answer feedback,Massed,7
11,Answer feedback,Massed,9
12,Answer feedback,Massed,10
13,Answer feedback,Spaced,10
14,Answer feedback,Spaced,11
15,Answer feedback,Spaced,13
16,Answer feedback,Spaced,14
17,Explanatory feedback,Massed,8
18,Explanatory feedback,Massed,9
19,Explanatory feedback,Massed,11
20,Explanatory feedback,Massed,12
21,Explanatory feedback,Spaced,16
22,Explanatory feedback,Spaced,17
23,Explanatory feedback,Spaced,19
24,Explanatory feedback,Spaced,20
