"student","resource","timing","score"
1,"Textbook","Same day",10
2,"Textbook","Same day",9
3,"Textbook","Same day",8
4,"Textbook","Same day",7
5,"Textbook","Two days",11
6,"Textbook","Two days",8
7,"Textbook","Two days",9
8,"Textbook","Two days",8
9,"Textbook","One week",9
10,"Textbook","One week",7
11,"Textbook","One week",8
12,"Textbook","One week",9
13,"Tutorial","Same day",18
14,"Tutorial","Same day",16
15,"Tutorial","Same day",16
16,"Tutorial","Same day",13
17,"Tutorial","Two days",15
18,"Tutorial","Two days",12
19,"Tutorial","Two days",14
20,"Tutorial","Two days",16
21,"Tutorial","One week",19
22,"Tutorial","One week",16
23,"Tutorial","One week",18
24,"Tutorial","One week",20
25,"Video","Same day",8
26,"Video","Same day",11
27,"Video","Same day",10
28,"Video","Same day",10
29,"Video","Two days",12
30,"Video","Two days",9
31,"Video","Two days",10
32,"Video","Two days",8
33,"Video","One week",11
34,"Video","One week",7
35,"Video","One week",8
36,"Video","One week",7
