"student_id","school","age","urban_home","travel_time","study_time","prior_failures","school_support","family_support","paid_tutoring","activities","higher_education","internet","absences","grade_period_1","grade_period_2","final_grade","pass"
"U001","GP",18,"U",2,2,0,"yes","no","no","no","yes","no",6,5,6,6,"No"
"U002","GP",17,"U",1,2,0,"no","yes","no","no","yes","yes",4,5,5,6,"No"
"U003","GP",15,"U",1,2,3,"yes","no","yes","no","yes","yes",10,7,8,10,"Yes"
"U004","GP",15,"U",1,3,0,"no","yes","yes","yes","yes","yes",2,15,14,15,"Yes"
"U005","GP",16,"U",1,2,0,"no","yes","yes","no","yes","no",4,6,10,10,"Yes"
"U006","GP",16,"U",1,2,0,"no","yes","yes","yes","yes","yes",10,15,15,15,"Yes"
"U007","GP",16,"U",1,2,0,"no","no","no","no","yes","yes",0,12,12,11,"Yes"
"U008","GP",17,"U",2,2,0,"yes","yes","no","no","yes","no",6,6,5,6,"No"
"U009","GP",15,"U",1,2,0,"no","yes","yes","no","yes","yes",0,16,18,19,"Yes"
"U010","GP",15,"U",1,2,0,"no","yes","yes","yes","yes","yes",0,14,15,15,"Yes"
"U011","GP",15,"U",1,2,0,"no","yes","yes","no","yes","yes",0,10,8,9,"No"
"U012","GP",15,"U",3,3,0,"no","yes","no","yes","yes","yes",4,10,12,12,"Yes"
"U013","GP",15,"U",1,1,0,"no","yes","yes","yes","yes","yes",2,14,14,14,"Yes"
"U014","GP",15,"U",2,2,0,"no","yes","yes","no","yes","yes",2,10,10,11,"Yes"
"U015","GP",15,"U",1,3,0,"no","yes","no","no","yes","yes",0,14,16,16,"Yes"
"U016","GP",16,"U",1,1,0,"no","yes","no","no","yes","yes",4,14,14,14,"Yes"
"U017","GP",16,"U",1,3,0,"no","yes","yes","yes","yes","yes",6,13,14,14,"Yes"
"U018","GP",16,"U",3,2,0,"yes","yes","no","yes","yes","no",4,8,10,10,"Yes"
"U019","GP",17,"U",1,1,3,"no","yes","no","yes","yes","yes",16,6,5,5,"No"
"U020","GP",16,"U",1,1,0,"no","no","yes","yes","yes","yes",4,8,10,10,"Yes"
"U021","GP",15,"U",1,2,0,"no","no","no","no","yes","yes",0,13,14,15,"Yes"
"U022","GP",15,"U",1,1,0,"no","yes","yes","no","yes","yes",0,12,15,15,"Yes"
"U023","GP",16,"U",1,2,0,"no","no","no","yes","yes","yes",2,15,15,16,"Yes"
"U024","GP",16,"U",2,2,0,"no","yes","no","yes","yes","yes",0,13,13,12,"Yes"
"U025","GP",15,"R",1,3,0,"yes","yes","yes","yes","yes","yes",2,10,9,8,"No"
"U026","GP",16,"U",1,1,2,"no","yes","yes","no","yes","yes",14,6,9,8,"No"
"U027","GP",15,"U",1,1,0,"no","yes","yes","no","yes","yes",2,12,12,11,"Yes"
"U028","GP",15,"U",1,1,0,"no","no","yes","no","yes","yes",4,15,16,15,"Yes"
"U029","GP",16,"U",1,2,0,"yes","yes","no","yes","yes","yes",4,11,11,11,"Yes"
"U030","GP",16,"U",1,2,0,"no","yes","yes","yes","yes","yes",16,10,12,11,"Yes"
"U031","GP",15,"U",1,2,0,"no","yes","yes","no","yes","yes",0,9,11,12,"Yes"
"U032","GP",15,"U",2,2,0,"no","yes","no","yes","yes","yes",0,17,16,17,"Yes"
